"Pop","Days","Flowers"
"NJHP",124,0
"NJHP",125,0
"ONNO",0,0
"ONNO",1,0.615384615384615
"ONNO",2,1.23076923076923
"ONNO",3,1.84615384615385
"ONNO",4,2.46153846153846
"ONNO",5,3.07692307692308
"ONNO",6,3.69230769230769
"ONNO",7,4.30769230769231
"ONNO",8,4.92307692307692
"ONNO",9,5.53846153846154
"ONNO",10,6.15384615384615
"ONNO",11,6.76923076923077
"ONNO",12,7.38461538461539
"ONNO",13,8
"ONNO",14,6.4
"ONNO",15,4.8
"ONNO",16,3.2
"ONNO",17,1.6
"ONNO",18,0
"ONNO",19,175.8
"ONNO",20,351.6
"ONNO",21,527.4
"ONNO",22,703.2
"ONNO",23,879
"ONNO",24,734.2
"ONNO",25,589.4
"ONNO",26,444.6
"ONNO",27,299.8
"ONNO",28,155
"ONNO",29,221.8
"ONNO",30,288.6
"ONNO",31,355.4
"ONNO",32,422.2
"ONNO",33,489
"ONNO",34,488.4
"ONNO",35,487.8
"ONNO",36,487.2
"ONNO",37,486.6
"ONNO",38,486
"ONNO",39,388.8
"ONNO",40,291.6
"ONNO",41,194.4
"ONNO",42,97.2
"ONNO",43,0
"ONNO",44,47.8
"ONNO",45,95.6
"ONNO",46,143.4
"ONNO",47,191.2
"ONNO",48,239
"ONNO",49,251
"ONNO",50,263
"ONNO",51,275
"ONNO",52,287
"ONNO",53,299
"ONNO",54,245.6
"ONNO",55,192.2
"ONNO",56,138.8
"ONNO",57,85.4
"ONNO",58,32
"ONNO",59,25.6
"ONNO",60,19.2
"ONNO",61,12.8
"ONNO",62,6.4
"ONNO",63,0
"ONNO",64,0
"ONNO",65,0
"ONNO",66,0
"ONNO",67,0
"ONNO",68,0
"ONNO",69,0
"ONNO",70,0
"ONNO",71,0
"ONNO",72,0
"ONNO",73,0
"ONNO",74,0
"ONNO",75,0
"ONNO",76,0
"ONNO",77,0
"ONNO",78,0
"ONNO",79,0
"ONNO",80,0
"ONNO",81,0
"ONNO",82,0
"ONNO",83,0
"ONNO",84,0
"ONNO",85,0
"ONNO",86,0
"ONNO",87,0
"ONNO",88,0
"ONNO",89,0
"ONNO",90,0
"ONNO",91,0
"ONNO",92,0
"ONNO",93,0
"ONNO",94,0
"ONNO",95,0
"ONNO",96,0
"ONNO",97,0
"ONNO",98,0
"ONNO",99,0
"ONNO",100,0
"ONNO",101,0
"ONNO",102,0
"ONNO",103,0
"ONNO",104,0
"ONNO",105,0
"ONNO",106,0
"ONNO",107,0
"ONNO",108,0
"ONNO",109,0
"ONNO",110,0
"ONNO",111,0
